state,district,election_year,cand_fname,cand_lname,vote_percent_primary,vote_percent_general,winner_primary,winner_general,ran_primary,ran_general,primary_contested,general_contested,primary_contested_reconciled,general_contested_reconciled,uncontested_prim_final,uncontested_gen_final,election_unique_identifier,candidate_unique_identifier,abb,district_unique_identifier,counties_total,city_election_outliers,year_state_district_unique_identifier,cand_gender,incum_chall,party,vote_count_general,vote_count_primary
Missouri,Buchanan,2018,Ronald,Holliday,100,97.72,W,W,Y,Y,uncontested,uncontested,uncontested,uncontested,1,1,mo-buchanan-2018-holliday,mo-holliday-ronald,MO,mo-buchanan,Buchanan,NA,2018-mo-buchanan,M,O,DEM,22676,5804
Missouri,Chariton,2018,Clifford,Thornburg,NA,56.88,NA,W,N,Y,uncontested,uncontested,uncontested,uncontested,1,1,mo-chariton-2018-thornburg,mo-thornburg-clifford,MO,mo-chariton,Chariton,NA,2018-mo-chariton,M,NA,DEM,62,NA
Missouri,Clark,2018,Holly,Conger-Koenig,100,97.84,W,W,Y,Y,uncontested,uncontested,uncontested,uncontested,1,1,mo-clark-2018-conger-koenig,mo-conger-koenig-holly,MO,mo-clark,Clark,NA,2018-mo-clark,NA,**,REP,2088,1083
Missouri,Crawford,2018,Susan,Bell,39.72,NA,L,NA,Y,N,contested,other,contested,did_not_run,0,0,mo-crawford-2018-bell,mo-bell-susan,MO,mo-crawford,Crawford,NA,2018-mo-crawford,NA,**,REP,NA,1664
Missouri,Dade,2018,Kaiti,Greenwade,100,98.98,W,W,Y,Y,uncontested,uncontested,uncontested,uncontested,1,1,mo-dade-2018-greenwade,mo-greenwade-kaiti,MO,mo-dade,Dade,NA,2018-mo-dade,NA,**,REP,2816,1530
Missouri,Dallas,2018,Jonathan,Barker,60.38,98.9,W,W,Y,Y,contested,uncontested,contested,uncontested,0,1,mo-dallas-2018-barker,mo-barker-jonathan,MO,mo-dallas,Dallas,NA,2018-mo-dallas,NA,O,REP,5594,2024
Missouri,Dallas,2018,Jason,Umbarger,39.62,NA,L,NA,Y,NA,contested,other,contested,no_data,0,0,mo-dallas-2018-umbarger,mo-umbarger-jason,MO,mo-dallas,Dallas,NA,2018-mo-dallas,NA,O,OTHER,NA,1328
Missouri,Dunklin,2018,Nicholas,Jain,59.43,100,W,W,Y,Y,contested,uncontested,contested,uncontested,0,1,mo-dunklin-2018-jain,mo-jain-nicholas,MO,mo-dunklin,Dunklin,NA,2018-mo-dunklin,NA,**,REP,6571,3000
Missouri,Dunklin,2018,Jeff,McCormick,40.57,NA,L,NA,Y,N,contested,other,contested,did_not_run,0,0,mo-dunklin-2018-mccormick,mo-mccormick-jeff,MO,mo-dunklin,Dunklin,NA,2018-mo-dunklin,NA,I,REP,NA,2048
Missouri,Franklin,2018,Samantha,Cerutti,39.08,NA,L,NA,Y,N,contested,other,contested,did_not_run,0,0,mo-franklin-2018-cerutti,mo-cerutti-samantha,MO,mo-franklin,Franklin,NA,2018-mo-franklin,F,O,REP,NA,7556
